TOPIC,WORD,MEANING,SENTENCE
123. Loss of strength,WITHER,"to cause to wilt, fade, or lose vitality.", Constant injuries have WITHERed the man.
123. Loss of strength,X BURGEON,grow or increase rapidly., This country has a burgeoning population.
123. Loss of strength,X REGENERATE,"to re-create, reconstitute, or make over, especially in a better form or", The money will be used to regenerate the commercial heart of the town.
123. Loss of strength,X REJUVENATE,give energy or life to someone., His new job seemed to rejuvenate him.
123. Loss of strength,X RESUSCITATION,to revive a person who has lost consciousness., He had an heart attack and all attempts to resuscitate him failed.
123. Loss of strength,X REVIVE,give new energy or life to., We revived him with artificial respiration.
124. Right to vote,FETTER,restrict., He felt FETTERed by small and petty rules and regulations.
124. Right to vote,SECURE,fix frimly., She SECUREd the rope firmly to the back of the car.
124. Right to vote,SHACKLE,a restraint, A country struggling to free itself from the SHACKLEs of colonialism.
124. Right to vote,TETHER,tie with a rope or chain, He TETHERed his horse to a tree.
124. Right to vote,X EMANCIPATE,free from restrictions, Slaves were not emancipated until 1863 in the United States.
124. Right to vote,X EXTRICATE,free from restrictions, He had managed to extricate himself from most of his official duties.
125. Strange,ECCENTRIC,unusual or unconventional., Most people considered him a harmless ECCENTRIC.
125. Strange,FOIBLE,a slight peculiarity or minor weakness., We have to tolerate each others little FOIBLEs.
125. Strange,IDIOSYNCRASY,peculiarity or a distinctive feactue., Wearing a raincoat even before it starts raining is one of her idiosyncrasies.
125. Strange,ODDITY,anything strange or unusual., The book deals with some of the oddities of grammar and spelling.
125. Strange,UIRKINESS,a strange attitude or habit., Everyone has his/her own little uirks and mannerisms.
126. Summary,CRUX,the essential point.,Now we should come to the CRUX of the matter.
126. Summary,GIST,a summary.,I missed the beginning of the lecture can you give me the GIST of what he said ?
126. Summary,PRECIS,a summary.,What is the main PURPORT of your letter.
127. Unclear,AMORPHOUS,unclear or vague., An AMORPHOUS mass of cells with no identity at all.
127. Unclear,BECLOUD,make unclear., The introduction of such a resolution would only BECLOUD the matter.
127. Unclear,CLOUD,make unclear., Doubts were beginning to CLOUD my mind.
127. Unclear,INDISTINCT,unclear., His memory of the incident was someone INDISTINCT.
127. Unclear,MURKY,dim or hard to see through clearly., adj Tone: neg.Example: This is a MURKY night.
127. Unclear,NEBULOUS,unclear or vague., This is a MURKY night.
128. Perfect,FLAWLESS,without mistakes., Her English is almost FLAWLESS.
128. Perfect,IMMACULATE,perfect clean or without mistakes., She always looks IMMACULATE.
128. Perfect,IMPECCABLE,without mistakes., Her written English is IMPECCABLE.
128. Perfect,INFALLIBLE,incapable of making mistake., Doctors are not INFALLIBLE.
128. Perfect,INTEGRITY,honesty., A man of great INTEGRITY.
128. Perfect,IRREPROACHABLE,can not be criticised., His conduct as a police officer was IRREPROACHABLE.
128. Perfect,PROBITY,honesty., The defense attorney uestioned the PROBITY of the witness.
128. Perfect,RECTITUDE,morality., She is a model of RECTITUDE.
128. Perfect,UNIMPEACHABLE,can not be doubted or questioned., We got evidence from an UNIMPEACHABLE source.
129. Acting properly,Decorous,"dignified, proper, and in good taste.", It was a spectacularly Decorous event.
129. Acting properly,Demure,shy and reserved., She is a Demure young lady.
129. Acting properly,Prim,formally precise or proper., She is much too Prim and proper to be a host.
129. Acting properly,Propriety,following what is socially acceptable in speech and behavior., Nobody questioned the Propriety of her being there alone.
129. Acting properly,Seemly,"dignified, proper, and in good taste.", It was not considered Seemly to talk in such a way in front of the children.
129. Acting properly,X Execrable,very bad or unpleasant., An execrable stage performance.
129. Acting properly,X Flagrant,openly outrageous., A flagrant violation of human rights.
129. Acting properly,X Malfeasance,a wrong act., The officer was arrested for malfeasance.
130. Bold / rude,Arrogant,too proud and looking down on others., His Arrogant behavior is observed by his seniors with disgust.
130. Bold / rude,Audacious,very bold.,An Audacious decision.
130. Bold / rude,Bombastic,"(of speech, writing, etc.) high- sounding; high-flown; inflated; pretentious.", There were Bombastic speeches by party members.
130. Bold / rude,Braggart,one who brags.," I am not trying to be a Braggart, but the editors mentioned me frequently intheir journals."
130. Bold / rude,Bravado,a bold or brave manner.," 'Don't threaten me,' she whispered with false Bravado."
130. Bold / rude,Brazen,shamelessly bold., She had become Brazen about the whole affair.
130. Bold / rude,Cheeky,slightly rude or disrespectful., A Cheeky smile.
130. Bold / rude,Conceited,very proud.,He is a very Conceited person.
130. Bold / rude,Effrontery,bold and rude manner., He had the Effrontery to accuse me of lying.
130. Bold / rude,Egotistical,very proud or self- centered.,His Egotistical behaviour prevented him from really loving anyone but himself.
130. Bold / rude,Gall,bold and rude manner., Then they had the Gall to complain about the head of the school.
130. Bold / rude,Grandiloquent,pompous or bombastic., His Grandiloquent speech impressed no one.
130. Bold / rude,Haughty,very arrogant or proud., He replied with Haughty disdain.
130. Bold / rude,Hauteur,a haughty manner., Bills haughtiness infuriated Martha so much that she stormed out of the room.
130. Bold / rude,Hubris,excessive pride., His failure was brought only by Hubris.
130. Bold / rude,Impertinent,rude., Would it be Impertinent to ask why you are leaving?
130. Bold / rude,Impudent,rude.," During the examination, his conduct was Impudent."
130. Bold / rude,Insolent,rude., Her Insolent attitude cost her the job.
130. Bold / rude,Nerve,boldness., It took a lot of Nerve to take the company to the court.
130. Bold / rude,Pompous,arrogant or conceited.,His speech sounded very Pompous and self congratulatory.
130. Bold / rude,Presumptuous,impertinently bold., Would it be Presumptuous of me to ask to borrow your car?
130. Bold / rude,Pretentious,assume great importance for oneself.," Bureaucrats are generally lazy,Pretentious, and vindictive individuals."
130. Bold / rude,Saucy,insolent., The jewelry store clerk was very Supercilious.
130. Bold / rude,Supercilious,"displaying arrogant pride, scorn, or indifference."," He Swaggered into the room, looking very pleased with himself."
130. Bold / rude,Swagger,walk or behave in a very arrogant or proud way., He had the Temerity to call me a liar.
130. Bold / rude,Temerity,excessive boldness., He has always come across as deeply untrustworthy and extremely Vainglorious.
130. Bold / rude,Vainglorious,very proud and boastful.,Sachin Tendulkar is a very unassuming.
131. Chaos / confusion,Bedlam,chaos or conusion., It was Bedlam at our house on the morning of the wedding
131. Chaos / confusion,Tumultous,"marked by disturbance, disorder and uproar.", Both had to brace themselves or a tumultuous period of financial and legalwoes.
131. Chaos / confusion,Turbulence,Violent disorder., That was a period of Turbulence in the country's history.
131. Chaos / confusion,Upheaval,strong or violent change or disturbance., The upheaval scared off tourists and shattered the city's economy.
132. Cheat /deceive,Artful,"do something skillfully, especially in a cunning way.", He was Artful and cunning so she didn't really trust him.
132. Cheat /deceive,Artifice,trickery.," Pretending to faint was merely an Artifice.Bilkcheat someone of money, possessions, etc.,"
132. Cheat /deceive,Chicanery,deception or trickery., A con man who Bilked investors out of millions of dollars.
132. Cheat /deceive,Crafty,sly and deceptive.," It can take several hours in large counties for the ballots to reach the countingstation, giving ample opportunity for Chicanery."
132. Cheat /deceive,Dupe,a person who can be easily fooled., He's a Crafty old devil.
132. Cheat /deceive,Finagle,"take money, possessions, etc by trickery.", He has never made a progress because he is a Dupe.
132. Cheat /deceive,Fleece,"cheat someone of money, possessions, etc.,", He Finagled some tickets for tonight's big game.
132. Cheat /deceive,Guile,deception or trickery., Some local stores have been fleecing tourists.
132. Cheat /deceive,Gulled,deceived., George was a man completely lacking in Guile.
132. Cheat /deceive,Hoodwink,cheat or deceive., The immigrant was Gulled because he trusted everyone very easily.
132. Cheat /deceive,Swindle,"cheat someone of money, possessions, etc.,", She was Hoodwinked into buying a worthless necklace.
132. Cheat /deceive,Wily ,cunning., They Swindled him out of hundreds of dollars.
133. Criminals/ law breakers,Felon,one who has committed a serious crime., A convicted Felon loses the right to vote.
133. Criminals/ law breakers,Menace,a threatening person or a thing., A new initiative aimed at beating the Menace of illegal drugs.
133. Criminals/ law breakers,Miscreant,one who creates trouble., Some Miscreants uprooted all the plants in our colony last night.
133. Criminals/ law breakers,vRogue,"a violent person, especially a criminal.", Many of the residents of this apartment were Rogues.
133. Criminals/ law breakers,Scoundrel,"an unprincipled, dishonorable person; villain.", The Scoundrel who killed her escaped before the police had any knowledge ofthe crime.
134. Disaster,Cataclysm,a violent upheaval., The immediate cause for this Cataclysm was the recession.
134. Disaster,Catastrophe,a disaster., Early warnings of rising water levels prevented another major Catastrophe.
134. Disaster,Coup (X),a clever action or accomplishment.," At this point in time, no one can be sure as to whether the coup was justified."
134. Disaster,Debacle,a disaster., The revolution ended in a Debacle.
135. Doubtful,Apprehensive,"worried, nervous or fearful.", You have no reason to be Apprehensive about the future.
135. Doubtful,Cynical,always questioning or doubting people or their motives., Do you have to be Cynical about everything.
135. Doubtful,Dubious,doubtful., I was pretty Dubious about the whole idea.
135. Doubtful,Questionable,doubtful or subject to question., Their conclusion is highly Questionable.
135. Doubtful,Septical,doubtful., I am Septical about his chances of winning.
136. Generous support,Altruist,someone who makes charitable donations intended to increase human wellbeing., Businessmen are not necessarily motivated by respect given to Altruists.
136. Generous support,Benefactor,one who gives money or other support for a good cause., He is a generous Benefactor.
136. Generous support,Beneficent,kind or generous., Her father is a Beneficent businessman.
136. Generous support,Benevolent,kind or generous., Believe in the existence of a Benevolent God!
136. Generous support,Humane,kind or compassionate., Campaigners claim that the animals are not being kept in Humane condition.
136. Generous support,Magnanimous,generous.," Without their Magnanimous support, this project would not have been possible."
136. Generous support,Munificent,generous., We are extremely grateful for your Munificent gift to our cause.
136. Generous support,Patron,one who gives money or other support.," She also selects buyers carefully, preferring a Patron who is willing to donateworks to a museum."
136. Generous support,Philanthropist,someone who makes charitable donations intended to increase human, He was a wealthy businessman and Philanthropist.Impersonator / cheat
136. Generous support,Charlatan,a person who pretends., He knows nothing about medicine- he is a complete Charlatan.
136. Generous support,Imposter,a person who pretends to be someone else., These measures may not entirely stop fraudulent accounts from being openedby the Imposter.
136. Generous support,Swindler,a cheater., The Swindler swindled all the property from his friends.Practical / possible
136. Generous support,Conceiable,possible., It is a Conceiable that Ill see her tomorrow.
136. Generous support,Credible,belieable., It is just not Credible that she would cheat.
136. Generous support,Feasible,possible, Its just not Feasible to manage the business on a part time basis.
136. Generous support,Plausible,possible, Her story sounded perfectly Plausible.
136. Generous support,Pragmatic,practical., We should hae a Pragmatic approach to management problems.
136. Generous support,Utilitarian,intended for use practical., This is a plain Utilitarian kitchenware.
136. Generous support,Verisimilar,truthful or probable., A Verisimilar tale.
136. Generous support,Viable,practical., These custom-built deices are not cheap enough to be commercially Viable.
137. Quiet,Abbreviated,shortened., The National Aeronautics and Space Administration is Abbreviated to NASA.
137. Quiet,Abridge,"shorten ( a piece of writing, film etc ).", She has been asked to Abridge the movie for television.
137. Quiet,Brevity,shortness or conciseness., Charles Dickens was not known for his Brevity in writing.
137. Quiet,Condense,shorten., Condense your answer into a few words.
137. Quiet,Laconic,using few words., A Laconic comment.
137. Quiet,Monosyllabic,very brief., A Monosyllabic reply.
137. Quiet,Reticent,quiet ; not speaking a lot.," Friends gave mixed, but frequently more positive ratings to more Reticentindividuals."
137. Quiet,Succinct,short ; to the point., Keep your answers as Succinct as possible.
137. Quiet,Taciturn,quiet ; not speaking a lot., He is a Taciturn and serious young man.
138. Repeat,Recapitulate,summarize.," To Recapitulate briefly, the three main points are these."
138. Repeat,Regurgitate,"repeat, especially something not fully understood."," For the exam, you must be able to Regurgitate the information."
138. Repeat,Rehash,"repeat or use again, with no or few changes.", He just Rehashes songs from the 60's.
138. Repeat,Reiterate,repeat., Let me Reiterate that we are fully committed to this policy.
139. Self-control,Abstemious,showing restrain., He was a hardworking man with Abstemious habits.
139. Self-control,Abstinence,restraint., Abstinence from chocolates is impossible for her.
139. Self-control,Celibacy,refrain from marriage or sex., He has been celibate all his life.
139. Self-control,Forbear,refrain from something.," He wanted to answer back, but he forbore from doing so."
139. Self-control,Moderate,within reasonable limits., He has Moderate salary demands.
139. Self-control,Refrain,stop from doing something.," Please, Refrain from smoking in this area."
139. Self-control,Temperate,mild or moderate., He is Temperate in his eating and drinking habits.
139. Self-control,X Indulge,give in to an inclination or desire., They went into town to indulge in some serious shopping.
140. Self control,Incandescent,shining.," Although these bulbs are Incandescent, they consume much less energy."
140. Self control,Iridescent,shining., A bird with Iridescent bright colors.
140. Self control,Luminous,shining., He was looking at us with large Luminous eyes.
140. Self control,Lustrous,shining., She has thick Lustrous hair.
140. Self control,Refulgent,shining., Crystal chandeliers and gilded walls made the opera house a Refulgent settingfor the ball.
140. Self control,Scintillating,shining with bright flashes of light., Scintillating screens are a direct method to observe an ion beam.Shinning show  off
140. Self control,Incandescent,shining.," Although these bulbs are Incandescent, they consume much less energy."
140. Self control,Iridescent,shining., A bird with Iridescent bright colors.
140. Self control,Luminous,shining., He was looking at us with large Luminous eyes.
140. Self control,Lustrous,shining., She has thick Lustrous hair.
140. Self control,Refulgent,shining., Crystal chandeliers and gilded walls made the opera house a Refulgent settingfor the ball.
140. Self control,Scintillating,shining with bright flashes of light., Scintillating screens are a direct method to observe an ion beam.Very bright
140. Self control,Incandescent,shining.," Although these bulbs are Incandescent, they consume much less energy."
140. Self control,Iridescent,shining., A bird with Iridescent bright colors.
140. Self control,Luminous,shining., He was looking at us with large Luminous eyes.
140. Self control,Lustrous,shining., She has thick Lustrous hair.
140. Self control,Refulgent,shining., Crystal chandeliers and gilded walls made the opera house a Refulgent settingfor the ball.
140. Self control,Scintillating,shining with bright flashes of light., Scintillating screens are a direct method to observe an ion beam.
141. Very talkative,Garrulous,very talkative., He became Garrulous whenever he was extremely happy.
141. Very talkative,Loquacious,very talkative., She is a Loquacious lady who never runs out of stories to tell.
141. Very talkative,Prolix,using more words than are required., This Prolix article is telling you more than you want to know.
141. Very talkative,Verbiage,speech or writing using more words than are required., The Verbiage devoted to the denigration of spell-check could fill a dictionary.
141. Very talkative,Verbose,using more words than are required., She is a Verbose speaker.
141. Very talkative,Voluble,very talkative., Evelyn was very Voluble on the subject of woman rights.Without deception
141. Very talkative,Artless,without deception., The Artless sincerity of a young child.
141. Very talkative,Credence/ Credible,"truthfulness, or believability.", They could give no credence to the findings of the survey.
141. Very talkative,Credulous,believing things very easily., The law will afford relief to the Credulous people who have been duped.
141. Very talkative,Dupe,an innocent or gullible person., He has never made a progress because he is a Dupe.
141. Very talkative,Guileless,without deception.," Jacobs, a sweet and Guileless,performer, is quite delightful."
141. Very talkative,Gullible,easily fooled., The advertisement is aimed at Gullible young women worried about their weight.
141. Very talkative,Ingenuous,innocent., Everyone was flexible and Ingenuous and looked for ways to keep things going.
141. Very talkative,Nave,innocent., She's so naive that she believes everything she reads.
142. Alone /lonely,Isolation,separated from the rest of people or things., Many unemployed people experience feelings of Isolation and depression.
142. Alone /lonely,Recluse,a person who likes staying alone or in isolation.," Her life, lived as a Recluse, gave rise to all sorts of stories concerning her."
142. Alone /lonely,Seclude,separate from others.," After Mr. Parks death, his daughter, who never married, has lived a Secluded life."
142. Alone /lonely,Solitary,alone., She enjoys long Solitary walks.Careless
142. Alone /lonely,Lax,careless.," The entire class performed incredibly well on the test, largely due to the sleepyprofessor's Lax supervision."
142. Alone /lonely,Negligent,careless., His parents say that the naval medical staff was Negligent.
142. Alone /lonely,Remiss,careless., We were Remiss in not sending thank-you notes for our wedding gifts.
142. Alone /lonely,Slipshod,done carelessly., The crops are gathered in a Slipshod way. How do we get profits from them?
142. Alone /lonely,X Stringent,harsh or strict., Stringent safety procedures prevent accidents in a dangerous work environment.Confirm / give up (x)
142. Alone /lonely,Affirm,confirm., I can Affirm that no one will lose his or her job.
142. Alone /lonely,Ascertain,confirm., A great detective must always Ascertain his beliefs.
142. Alone /lonely,Aver,say openly and confidently., She Averred that she had never seen the man before.
142. Alone /lonely,Avow,declare openly., They Avowed their undying love for each other.
142. Alone /lonely,Proclaim,declare openly or publicly., The day was Proclaimed a public holiday.
142. Alone /lonely,X Abdicate,"give up ( power, claim,right, etc).", Sonia Gandhi willingly abdicated the position of the Prime Minister.
142. Alone /lonely,X Abjure,give up., Academic freedom to pursue the truth entails the obligation to abjure untruth.
142. Alone /lonely,X Abnegate,give up., The king abnegated his power to the ministers.
142. Alone /lonely,X Cede,"give up or surrender ( land, position, or authority ).", Cuba was ceded by Spain to the US in 1898 year.
142. Alone /lonely,X Forsake,give up., She promised his wife that he will never forsake her.
142. Alone /lonely,X Forswear,"give up an idea, belief, or habit.", He foreswore cigarettes as his New Year's resolution.
142. Alone /lonely,X Relinquish,give up., He was forced to relinquish control of the company.
143. Easily affected,Prone,easily affected or influenced by.," People with fair skin, who sunburn easily, are very Prone to develop skin cancer."
143. Easily affected,Subject to,open or exposed to., The whole meeting was subjected to ridicule.
143. Easily affected,Susceptible,easily affected or influenced by., Salt intake may lead to high blood pressure in Susceptible adults.
143. Easily affected,Vulnerable,open to or easily affected by.," In cases of food poisoning, young children are especially Vulnerable."
143. Easily affected,X Impervious,"incapable of being influenced, persuaded, or affected.", She is impervious to criticism.
144. Examine carefully,# Browse,to look through or glance at casually., He's browsing the shelves for something to read.
144. Examine carefully,Peruse,read or examine something carefully., A copy of the report is available for you to Peruse at your leisure.
144. Examine carefully,Pore Over,examine carefully., His lawyers are poring over the fine print in the contract.
144. Examine carefully,Scrutinize,read or examine something carefully., She leaned forward to Scrutinize their faces.
145. Express using gesture,Charade,"a game in which mambers take turns at acting out in pantomime a word, phrase.", Let's play Charades.
145. Express using gesture,Gesticulate,express using gestures., She was shouting and gesticulating from the other side of the road.
145. Express using gesture,Mime,"the art or technique of portraying a character, mood, idea, or narration by gestures and", The actor Mimed the President very accurately.
145. Express using gesture,Pantomime,"the art or technique of portraying a character, mood, idea, or narration by gestures", This is a magical tale told through Pantomime and song.
146. Friendly,Affable,"friendly, pleasant.", Mr Brook is an extremely Affable and approachable person.
146. Friendly,Amiable,"friendly, pleasant.", Two Amiable people who no longer want to be married to one another might have anamicable divorce.
146. Friendly,Amicable,friendly.," Round the family table, the political talk is tough, but Amicable."
146. Friendly,Camaraderie,a feeling of friendship and trust., The games are designed to differentiate the line between competition andCamaraderie.
146. Friendly,Complaisance,ready to accept and doing what others want you to do., She was a complaisant wife and dutiful daughter.
146. Friendly,Congenial,"friendly, cheerful.", It always feels great to work in a Congenial environment.
146. Friendly,Convivial,"friendly, cheerful.", She is a woman of Convivial nature.
146. Friendly,Cordial,friendly., We both share a Cordial relationship.
146. Friendly,Fraternize,associate in a friendly manner., The recession has created an atmosphere where disparate groups fraternise in anatmosphere of mutual support.
146. Friendly,Genial,"friendly, pleasant.", Bob was always Genial and welcoming host.
147. Hide /cover/ disguise,Camouflage,concealment by some means that alters or obscures the appearance., Drab plumage provides the bird with Camouflage against predators.
147. Hide /cover/ disguise,Cloak,cover or hide.," Cloaking an issue never helps you get rid of it, you should face it."
147. Hide /cover/ disguise,Dissemble,disguise feelings or intention., She was a very honest person who was incapable of dissembling.
147. Hide /cover/ disguise,Feign,pretend., A present for me? she asked with Feigned surprise.
147. Hide /cover/ disguise,Guise,assumed appearance., He approached them under the Guise of friendship.
147. Hide /cover/ disguise,Incognito,having one's identity concealed., Movie stars often prefer to travel Incognito.
147. Hide /cover/ disguise,Masquerade,a pretended act., He was tired of the Masquerade and wanted the truth to come out.
147. Hide /cover/ disguise,Shroud,cover or hide., The clouds Shroud the mountain 9 out of 10 days.
147. Hide /cover/ disguise,Travesty,a false or illogical representation or imitation., The trial was a Travesty of justice.
148. Imitate / comic imitation,Emulate,imitate with effort to equal or surpass., She hopes to Emulate her sister's athletic achievements.
148. Imitate / comic imitation,Mimic,copy words or actions., He Mimicked Rajnikant in the class.
148. Imitate / comic imitation,Simulate,to copy., Role- playing is a useful way of simulating real-life situations.
149. Intervenor / lead,Arbiter,someone selected to judge and settle a dispute., The law is the final Arbiter of what is considered wrong.
149. Intervenor / lead,Arbitrator,someone selected to judge and settle a dispute., He was chosen as the Arbitrator for the cricket match.
149. Intervenor / lead,Mediate,"to act between parties to settle an agreement, compromise,etc.,", The Mayor was asked to Mediate in the dispute.
149. Intervenor / lead,Officiate,act in an official capacity., A new referee will Officiate at the game.
149. Intervenor / lead,Preside,"act as the leader or president of a meeting,etc.,", They asked if I would Preside at the committee meeting.
150. Irritable / bad tempered,Cantankerous,bad tempered., He is a Cantankerous old man.
150. Irritable / bad tempered,Chagrin,feel irritated or embarrassed.," To her Chagrin, neither of her sons became doctors."
150. Irritable / bad tempered,Choleric,irritable.," He was a Choleric, self- important man."
150. Irritable / bad tempered,Churlish,"rude, irritable or bad tempered.", It might seem Churlish to critique this engaging film on political grounds.
150. Irritable / bad tempered,Curmudgeon,a bad tempered person., You are such a Curmudgeon - why do you keep shouting at my kids for no reason?
150. Irritable / bad tempered,Grouchy,irritable or bad tempered.," On average, people are lively when they wake up and become Grouchy as the daywears on."
150. Irritable / bad tempered,Gruff,"rude, harsh or bad tempered."," Beneath his Gruff exterior, he's really a nice guy."
150. Irritable / bad tempered,Irascible,irritable.," Clearly, he has been made Irascible by taunts about his doomsday no-shows."
150. Irritable / bad tempered,Testiness,irritability.," 'Why do you laugh at me?' she inquired, with a frank Testiness."
151. Offensive / lusty,Lascivious,indicating sexual interest or expressive of lust., He was fired for making Lascivious remarks to a co-worker.
151. Offensive / lusty,Lecherous,lustful ., He had a Lecherous gleam in his eye.
151. Offensive / lusty,Leer,stare in a lustful way., Leering at others is utterly frustrating and intolerable.
151. Offensive / lusty,Lewd,sexually inappropriate., Any clothing that would be considered to be Lewd will be cause for any visitor to bedenied a visit.
151. Offensive / lusty,Lurid,"glaringly vivid or sensational, esp sexually.", She was wearing a Lurid orange and green blouse.
151. Offensive / lusty,Obscene,sexually inappropriate., He was arrested for making Obscene calls.
151. Offensive / lusty,Ogle,stare in a lustful way., He is not in the habit of ogling at women.
151. Offensive / lusty,Seamy,"immoral, unpleasant or sordid.", He was always attracted towards a Seamy way of life.
151. Offensive / lusty,Sordid,morally ignoble., It was a shock to discover the truth about his Sordid past.
151. Offensive / lusty,Vulgar,sexually inappropriate., The Vulgar decoration spoilt the mood and ambience of the party.
152. Office or job related,Incumbent,an official who holds a position in office.," Voters are usually vote for Incumbents who bring improvement, however limited."
152. Office or job related,Sedentary,sitting a lot and not very physically active.," The researchers say that Sedentary behaviour such as watching TV, sitting in a car orusing a computer is becoming pervasive."
152. Office or job related,Sinecure,"a job that pays, but involves minimal work."," Because he was the brother of the CEO, he was offered a Sinecure in the company."
153. Respect,Cemmemorate,remember something by honoring it., A series of movies will be shown to commemorate the 30th anniversary of his death.
153. Respect,Deference,respect.," He responded with courtly Deference, giving them his full attention."
153. Respect,Exalt,"raise to a higher rank, honour or dignity.", He was Exalted to the position of president.
153. Respect,Hallow,to respect or honor as being holy., Their wedding was Hallowed by a friendly priest.
153. Respect,Homage,great respect and honor., He describes his book as 'a Homage to my father.'
153. Respect,Revere,respect deeply.," From earliest childhood, she had been taught to Revere and love bishops of her church."
153. Respect,Venerate,respect deeply.," Obey and Venerate the old people, particularly your parents."
154. Secret,Clandestine,secret., The CIA might run a Clandestine operation to infiltrate terrorist organizations.
154. Secret,Covert,secret., The teachers weren't impressed by the students' Covert attempt to derail thediscussion.
154. Secret,Furtive,secret., She cast a Furtive glance over her shoulder.
154. Secret,Oblique,refering to something indirectly., He referred only Obliquely to their recent problems.
154. Secret,Skulk,to move in a stealthy manner., There was someone Skulking behind the bushes.
154. Secret,Sly,secret., What separated him from a run-of-the- mansion celebrity aitist is his offhand intimacyand Sly nature.
154. Secret,Stealth,secret.," If you plan a Stealth birthday party, then the guest of honor will be pleasantlysurprised."
154. Secret,Surreptitious,secret., The members of the society held Surreptitious meetings because they're a secretsociety.
154. Secret,X Overt,done openly., There was little overt support for the project.
155. Take away forcibly,Appropriate,"to take something, someone's ideas, etc. for your own use, especially without", He was accused of appropriating club funds.
155. Take away forcibly,Divest,"to strip or deprive (someone or something), especially of property or rights.", The company is Divesting itself of some of its assets.
155. Take away forcibly,Expropriate,to take (something) from another's possession for one's own use., He Expropriated my ideas for his own article.
155. Take away forcibly,Preempt,to acquire or appropriate before someone else., A political issue Preempted by the opposition party.
155. Take away forcibly,Usurp,take by force., The emergency manager does not replace them or Usurp their jobs.
156. Tempting,Erotic,sexually exciting., An Erotic art seems to be appealing if depicted sensually.
156. Tempting,Seductive,tending to seduce; tempting., Female radio jockeys often have Seductive voices.
156. Tempting,Sensual,exciting the senses., Food is a great Sensual experience.
"157. Wise , short saying",Adage,a wise saying.," According to the old Adage, a picture is worth a thousand words."
"157. Wise , short saying",Aphorism,a wise saying., 'People who live in glass houses shouldn't throw stones' is an Aphorism which is aptand witty.
"157. Wise , short saying",Apothegm,a short saying.," 'Necessity,' says the old Apothegm, 'is the mother of invention.'"
"157. Wise , short saying",Epigram,"a short, witty remark."," One might say that the idea of exceptionalism is thoroughly unexceptional, if you'llpardon the Epigram."
"157. Wise , short saying",Maxim,a general truth.," An overused Maxim of real estate is 'Location, location, location.'"
"157. Wise , short saying",Precept,a general rule.," The law of nature has but one Precept, 'Be strong'."
158. Accuse,Aspersion,cast doubts on or question something., I wouldn't want to cast Aspersions on your honesty.
158. Accuse,Calumny,false statements to damage someones reputation., He accused the press of publishing vicious calumnies.
158. Accuse,Defame,spoil someone's reputation., The newspaper denies any intention to Defame the senator's reputation.
158. Accuse,Libel,a written document to damage someones's reputation., He sued the newspaper for Libel.
158. Accuse,Malign,to speak harmful untruths about., She feels she has been much Maligned by the press.
158. Accuse,Obloquy,public criticism., Her family tried to shield her from Obloquy.
158. Accuse,Opprobrium,public criticism., The bombing in the city has attracted international Opprobrium.
158. Accuse,Slander,makie damaging accusations against someone., He is suing them for Slandering him.
158. Accuse,Slur,makie damaging accusations against someone., She accused the programme of Slurring the company's name.
158. Accuse,Vilify,makie damaging accusations against someone., The Nazi propaganda vilified the Jews.
159. Attract / fascinate,ARRESTING,attracting attention., An ARRESTING song is one you always want to hear.
159. Attract / fascinate,CAPTIVATE,attract completely., The children were CAPTIVATEd by her stories.
159. Attract / fascinate,ENAMORED,attract completely., The tourists have always been enamoured by the beauty of Niagara Falls.
159. Attract / fascinate,ENTHRALL,attract completely.," He is a star performer whose grace, skill, and virtuosity ENTHRALL the audiences."
159. Attract / fascinate,INFATUATE,love something greatly., He was INFATUATEd with his new car.
159. Attract / fascinate,MESMERIZE,attract completely., They were MESMERIZEd by her performance.
159. Attract / fascinate,RAPTURE,intense happiness., Charles listened with RAPTURE to her singing.
159. Attract / fascinate,RIVET,fascinate completely., The last chapter was so RIVETing that I was reading past midnight.
159. Attract / fascinate,SPELLBINDING,attracting completely., It was a SPELLBINDING description of life in ancient Rome.
159. Attract / fascinate,X ENNUI,boredom., The endless lecture produced an unbearable ennui.
160. Beginner / inexperienced,ACOLYTE,an assistant or follower., He is the emperor's faithful ACOLYTE.
160. Beginner / inexperienced,APPRENTICE,a person learning a trade under the guidance of an experienced person., An APPRENTICE chef.
160. Beginner / inexperienced,CADET,a young person training to become an officer in armed forces., Thomas received the best CADET award of the Air Force last year.
160. Beginner / inexperienced,CALLOW,immature or inexperienced., Nicklaus was enthralled the first time he played in the Masters in 1959 as a CALLOW19-year-old amateur.
160. Beginner / inexperienced,DILETTANTE,"a person who takes up an activity, especially in a superficial way."," Online DILETTANTEs dropped out fast, but 23,000 committed learners finished thecourse."
160. Beginner / inexperienced,INGENUOUS,innocent or inexperienced., It is INGENUOUS to suppose that money did not play a part in his decision.
160. Beginner / inexperienced,NEOPHYTE,an inexperienced person., A political NEOPHYTE is someone who has just been elected and comes to WashingtonD.C. not understanding how the game of politics is played.
160. Beginner / inexperienced,NOVEL,new., Protesters found a NOVEL way of demonstrating against rising oil prices.
160. Beginner / inexperienced,NOVICE,an inexperienced person., I'm a complete NOVICE at skiing.
160. Beginner / inexperienced,ROOKIE,"an young, inexperienced person.", I don't want to have another ROOKIE to train.
160. Beginner / inexperienced,TYRO,a beginner.," Whether you're a vacationing TYRO or a big-name pro, you will enjoy the activities."
